Team,Sprint,Issue ID,Story Points,Status,Notes,Sprint Start Date,Sprint End Date,Points Committed,Points Delivered,Predictability (%),RAG Status,Stories Planned,Stories Delivered,Stories Pulled Back,Stories Added Mid-sprint,Churn Status,Delivery Status,Action Item
Team A,Sprint 1,TEAMA-100,3,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 1,TEAMA-101,8,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 1,TEAMA-102,5,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 1,TEAMA-103,4,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 1,TEAMA-104,4,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 1,TEAMA-105,4,Delivered,,2025-03-01,2025-03-14,28,28,100.0,Great,6,6,0,0,"0 added, 0 pulled back",Incomplete,Keep up the good work.
Team A,Sprint 2,TEAMA-106,3,Delivered,,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-107,3,Delivered,,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-108,4,Delivered,,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-109,4,Delivered,,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-110,7,Pulled Back,Changed priorities,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-111,7,Pulled Back,Changed priorities,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 2,TEAMA-112,2,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-15,2025-03-28,28,19,67.86,Requires Action,6,4,2,1,"1 added, 2 pulled back",Spillover,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-113,4,Delivered,,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-114,2,Delivered,,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-115,3,Delivered,,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-116,7,Delivered,,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-117,5,Pulled Back,Changed priorities,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-118,4,Pulled Back,Changed priorities,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-119,4,Pulled Back,Changed priorities,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-120,3,Pulled Back,Changed priorities,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-121,3,Pulled Back,Changed priorities,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-122,4,Pulled Back,Changed priorities,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-123,3,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-124,1,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team A,Sprint 3,TEAMA-125,4,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-29,2025-04-11,39,23,58.97,Requires Action,10,4,0,3,"3 added, 0 pulled back",Incomplete,Improve planning or remove blockers.
Team B,Sprint 1,TEAMB-126,6,Delivered,,2025-03-01,2025-03-14,36,29,80.56,Good,6,5,0,0,"0 added, 0 pulled back",Completed,Focus on estimation accuracy.
Team B,Sprint 1,TEAMB-127,3,Delivered,,2025-03-01,2025-03-14,36,29,80.56,Good,6,5,0,0,"0 added, 0 pulled back",Completed,Focus on estimation accuracy.
Team B,Sprint 1,TEAMB-128,7,Delivered,,2025-03-01,2025-03-14,36,29,80.56,Good,6,5,0,0,"0 added, 0 pulled back",Completed,Focus on estimation accuracy.
Team B,Sprint 1,TEAMB-129,5,Delivered,,2025-03-01,2025-03-14,36,29,80.56,Good,6,5,0,0,"0 added, 0 pulled back",Completed,Focus on estimation accuracy.
Team B,Sprint 1,TEAMB-130,8,Delivered,,2025-03-01,2025-03-14,36,29,80.56,Good,6,5,0,0,"0 added, 0 pulled back",Completed,Focus on estimation accuracy.
Team B,Sprint 1,TEAMB-131,7,Pulled Back,Changed priorities,2025-03-01,2025-03-14,36,29,80.56,Good,6,5,0,0,"0 added, 0 pulled back",Completed,Focus on estimation accuracy.
Team B,Sprint 2,TEAMB-132,5,Delivered,,2025-03-15,2025-03-28,32,31,96.88,Great,7,6,0,2,"2 added, 0 pulled back",Incomplete,Keep up the good work.
Team B,Sprint 2,TEAMB-133,3,Delivered,,2025-03-15,2025-03-28,32,31,96.88,Great,7,6,0,2,"2 added, 0 pulled back",Incomplete,Keep up the good work.
Team B,Sprint 2,TEAMB-134,4,Delivered,,2025-03-15,2025-03-28,32,31,96.88,Great,7,6,0,2,"2 added, 0 pulled back",Incomplete,Keep up the good work.
Team B,Sprint 2,TEAMB-135,3,Delivered,,2025-03-15,2025-03-28,32,31,96.88,Great,7,6,0,2,"2 added, 0 pulled back",Incomplete,Keep up the good work.
Team B,Sprint 2,TEAMB-136,6,Delivered,,2025-03-15,2025-03-28,32,31,96.88,Great,7,6,0,2,"2 added, 0 pulled back",Incomplete,Keep up the good work.
Team B,Sprint 2,TEAMB-137,5,Delivered,,2025-03-15,2025-03-28,32,31,96.88,Great,7,6,0,2,"2 added, 0 pulled back",Incomplete,Keep up the good work.
Team B,Sprint 2,TEAMB-138,6,Pulled Back,Changed priorities,2025-03-15,2025-03-28,32,31,96.88,Great,7,6,0,2,"2 added, 0 pulled back",Incomplete,Keep up the good work.
Team B,Sprint 2,TEAMB-139,3,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-15,2025-03-28,32,31,96.88,Great,7,6,0,2,"2 added, 0 pulled back",Incomplete,Keep up the good work.
Team B,Sprint 2,TEAMB-140,1,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-15,2025-03-28,32,31,96.88,Great,7,6,0,2,"2 added, 0 pulled back",Incomplete,Keep up the good work.
Team B,Sprint 3,TEAMB-141,2,Delivered,,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team B,Sprint 3,TEAMB-142,5,Delivered,,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team B,Sprint 3,TEAMB-143,5,Delivered,,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team B,Sprint 3,TEAMB-144,2,Delivered,,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team B,Sprint 3,TEAMB-145,2,Delivered,,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team B,Sprint 3,TEAMB-146,4,Delivered,,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team B,Sprint 3,TEAMB-147,4,Delivered,,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team B,Sprint 3,TEAMB-148,3,Pulled Back,Changed priorities,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team B,Sprint 3,TEAMB-149,5,Pulled Back,Changed priorities,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team B,Sprint 3,TEAMB-150,5,Pulled Back,Changed priorities,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team B,Sprint 3,TEAMB-151,5,Pulled Back,Changed priorities,2025-03-29,2025-04-11,42,24,57.14,Requires Action,11,7,2,0,"0 added, 2 pulled back",Completed,Improve planning or remove blockers.
Team C,Sprint 1,TEAMC-152,5,Delivered,,2025-03-01,2025-03-14,30,34,113.33,Great,6,6,0,1,"1 added, 0 pulled back",Spillover,Keep up the good work.
Team C,Sprint 1,TEAMC-153,6,Delivered,,2025-03-01,2025-03-14,30,34,113.33,Great,6,6,0,1,"1 added, 0 pulled back",Spillover,Keep up the good work.
Team C,Sprint 1,TEAMC-154,5,Delivered,,2025-03-01,2025-03-14,30,34,113.33,Great,6,6,0,1,"1 added, 0 pulled back",Spillover,Keep up the good work.
Team C,Sprint 1,TEAMC-155,3,Delivered,,2025-03-01,2025-03-14,30,34,113.33,Great,6,6,0,1,"1 added, 0 pulled back",Spillover,Keep up the good work.
Team C,Sprint 1,TEAMC-156,4,Delivered,,2025-03-01,2025-03-14,30,34,113.33,Great,6,6,0,1,"1 added, 0 pulled back",Spillover,Keep up the good work.
Team C,Sprint 1,TEAMC-157,7,Delivered,,2025-03-01,2025-03-14,30,34,113.33,Great,6,6,0,1,"1 added, 0 pulled back",Spillover,Keep up the good work.
Team C,Sprint 1,TEAMC-158,4,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-01,2025-03-14,30,34,113.33,Great,6,6,0,1,"1 added, 0 pulled back",Spillover,Keep up the good work.
Team C,Sprint 2,TEAMC-159,2,Delivered,,2025-03-15,2025-03-28,29,29,100.0,Great,8,7,1,2,"2 added, 1 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 2,TEAMC-160,2,Delivered,,2025-03-15,2025-03-28,29,29,100.0,Great,8,7,1,2,"2 added, 1 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 2,TEAMC-161,5,Delivered,,2025-03-15,2025-03-28,29,29,100.0,Great,8,7,1,2,"2 added, 1 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 2,TEAMC-162,4,Delivered,,2025-03-15,2025-03-28,29,29,100.0,Great,8,7,1,2,"2 added, 1 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 2,TEAMC-163,4,Delivered,,2025-03-15,2025-03-28,29,29,100.0,Great,8,7,1,2,"2 added, 1 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 2,TEAMC-164,3,Delivered,,2025-03-15,2025-03-28,29,29,100.0,Great,8,7,1,2,"2 added, 1 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 2,TEAMC-165,5,Delivered,,2025-03-15,2025-03-28,29,29,100.0,Great,8,7,1,2,"2 added, 1 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 2,TEAMC-166,4,Pulled Back,Changed priorities,2025-03-15,2025-03-28,29,29,100.0,Great,8,7,1,2,"2 added, 1 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 2,TEAMC-167,4,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-15,2025-03-28,29,29,100.0,Great,8,7,1,2,"2 added, 1 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 2,TEAMC-168,1,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-15,2025-03-28,29,29,100.0,Great,8,7,1,2,"2 added, 1 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 3,TEAMC-169,3,Delivered,,2025-03-29,2025-04-11,33,46,139.39,Great,6,6,0,3,"3 added, 0 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 3,TEAMC-170,4,Delivered,,2025-03-29,2025-04-11,33,46,139.39,Great,6,6,0,3,"3 added, 0 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 3,TEAMC-171,8,Delivered,,2025-03-29,2025-04-11,33,46,139.39,Great,6,6,0,3,"3 added, 0 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 3,TEAMC-172,4,Delivered,,2025-03-29,2025-04-11,33,46,139.39,Great,6,6,0,3,"3 added, 0 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 3,TEAMC-173,8,Delivered,,2025-03-29,2025-04-11,33,46,139.39,Great,6,6,0,3,"3 added, 0 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 3,TEAMC-174,6,Delivered,,2025-03-29,2025-04-11,33,46,139.39,Great,6,6,0,3,"3 added, 0 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 3,TEAMC-175,3,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-29,2025-04-11,33,46,139.39,Great,6,6,0,3,"3 added, 0 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 3,TEAMC-176,5,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-29,2025-04-11,33,46,139.39,Great,6,6,0,3,"3 added, 0 pulled back",Incomplete,Keep up the good work.
Team C,Sprint 3,TEAMC-177,1,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-29,2025-04-11,33,46,139.39,Great,6,6,0,3,"3 added, 0 pulled back",Incomplete,Keep up the good work.
Team D,Sprint 1,TEAMD-178,2,Delivered,,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-179,6,Delivered,,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-180,5,Delivered,,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-181,4,Delivered,,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-182,6,Pulled Back,Changed priorities,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-183,4,Pulled Back,Changed priorities,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-184,2,Pulled Back,Changed priorities,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-185,4,Pulled Back,Changed priorities,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-186,5,Pulled Back,Changed priorities,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-187,3,Pulled Back,Changed priorities,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-188,5,Pulled Back,Changed priorities,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 1,TEAMD-189,3,Added Mid-sprint,Mid-sprint addition due to urgent request,2025-03-01,2025-03-14,46,22,47.83,Requires Action,11,4,4,1,"1 added, 4 pulled back",Completed,Improve planning or remove blockers.
Team D,Sprint 2,TEAMD-190,6,Delivered,,2025-03-15,2025-03-28,49,49,100.0,Great,11,11,0,0,"0 added, 0 pulled back",Spillover,Keep up the good work.
Team D,Sprint 2,TEAMD-191,6,Delivered,,2025-03-15,2025-03-28,49,49,100.0,Great,11,11,0,0,"0 added, 0 pulled back",Spillover,Keep up the good work.
Team D,Sprint 2,TEAMD-192,3,Delivered,,2025-03-15,2025-03-28,49,49,100.0,Great,11,11,0,0,"0 added, 0 pulled back",Spillover,Keep up the good work.
Team D,Sprint 2,TEAMD-193,3,Delivered,,2025-03-15,2025-03-28,49,49,100.0,Great,11,11,0,0,"0 added, 0 pulled back",Spillover,Keep up the good work.
Team D,Sprint 2,TEAMD-194,4,Delivered,,2025-03-15,2025-03-28,49,49,100.0,Great,11,11,0,0,"0 added, 0 pulled back",Spillover,Keep up the good work.
Team D,Sprint 2,TEAMD-195,3,Delivered,,2025-03-15,2025-03-28,49,49,100.0,Great,11,11,0,0,"0 added, 0 pulled back",Spillover,Keep up the good work.
Team D,Sprint 2,TEAMD-196,6,Delivered,,2025-03-15,2025-03-28,49,49,100.0,Great,11,11,0,0,"0 added, 0 pulled back",Spillover,Keep up the good work.
Team D,Sprint 2,TEAMD-197,6,Delivered,,2025-03-15,2025-03-28,49,49,100.0,Great,11,11,0,0,"0 added, 0 pulled back",Spillover,Keep up the good work.
Team D,Sprint 2,TEAMD-198,2,Delivered,,2025-03-15,2025-03-28,49,49,100.0,Great,11,11,0,0,"0 added, 0 pulled back",Spillover,Keep up the good work.
